scope,mode,n_runs,wape_mean,wape_std,wape_ci95,rmse_mean,rmse_ci95,mae_mean,mae_ci95,r2_mean,r2_ci95,mean_n_train_seq,mean_n_val_seq,mean_n_test_seq,mean_n_dynamic_features,mean_n_static_features
single,M0,75,18.44281473795573,14.970613376558164,3.4444253219336822,12.719489408597932,4.106270397896797,5.406644825935364,0.8488155936427747,0.8933854269981384,0.04989315984776268,11796.0,2066.0,8208.333333333334,8.0,0.0
single,M1,75,18.462609157562255,14.976892539485474,3.44587002611803,12.862659536855285,4.111680109235331,5.441048081715902,0.8574362357074938,0.8926981155077617,0.05002194089060708,11796.0,2066.0,8208.333333333334,9.0,0.0
single,M2,75,22.896606470743816,17.572367861214758,4.043034664316285,18.332266641480224,5.6525218959864505,8.954008305072785,2.6714489877791903,0.8302828073501587,0.06769318640694039,11796.0,2066.0,8208.333333333334,14.0,0.0
single,M3,75,23.12173563639323,17.730741274025714,4.079473077338246,18.581957581655782,5.701242596894715,9.180890431404114,2.765211904221075,0.8285976338386536,0.06796697171982467,11796.0,2066.0,8208.333333333334,15.0,0.0
single,M4,75,22.189490089416505,16.149189929503358,3.7155911600120572,17.226331981401113,5.0367003191619535,8.297773012320201,2.160947471422991,0.8517205182711284,0.05627568642834525,11796.0,2066.0,8208.333333333334,15.0,20.0
global,M0,75,13.312523962656657,14.416474674901187,3.316929585597355,10.776015804869592,4.165813083038044,3.929960446357727,0.7547752999780447,0.9160819594065348,0.05078485871108712,11796.0,2066.0,8208.333333333334,8.0,0.0
global,M1,75,13.599504992167155,14.30647104167838,3.2916200481557802,10.850181273012993,4.1515048060481545,4.0728171102205915,0.7717902969644175,0.916563184261322,0.0504105737090544,11796.0,2066.0,8208.333333333334,9.0,0.0
global,M2,75,14.81577932357788,14.031996267515652,3.228469137863854,11.858070125646623,4.162850561100576,4.818727199236552,0.9280083373462911,0.9124828855196635,0.049842389616102746,11796.0,2066.0,8208.333333333334,14.0,0.0
global,M3,75,14.678549766540527,14.183897110429168,3.2634183477989436,11.853894619261036,4.193336507225721,4.766743474801381,0.9387205109942127,0.9116992990175883,0.05049582275717684,11796.0,2066.0,8208.333333333334,15.0,0.0
global,M4,75,14.875362923940022,14.216016689379419,3.2708083917659683,12.123780536869285,4.211634226031061,4.892288281122844,0.9788052682953657,0.9100143488248189,0.050346088571983166,11796.0,2066.0,8208.333333333334,15.0,20.0
