building,rmse,mae,r2,wape_pct,n_test_seq
GEO,76.16703670531466,13.569345474243164,0.09708935022354126,72.23405456542969,8213
ICO,7.974562735214458,4.769548416137695,0.9374836087226868,16.34156036376953,8213
LIB,9.741426659970399,5.7499566078186035,0.9753210544586182,10.004355430603027,8213
SOC,18.91201729571331,11.33266544342041,0.9767003655433655,10.33446979522705,8213
STU,30.3321859401239,23.83965301513672,0.4757266044616699,20.367347717285156,62
U01,70.77761787038506,42.000083923339844,0.30743682384490967,50.99748992919922,8213
U01U02,24.67552369710849,17.59682846069336,0.9395625591278076,4.4480767250061035,201
U02,4.655032824473295,2.3764548301696777,0.8749732375144958,27.489395141601562,8206
U02B,3.124138522614496,1.9688620567321777,0.9168974161148071,20.264545440673828,8206
U03,11.766195620292908,7.409263610839844,0.9532341957092285,15.167510986328125,8206
U03B,5.133214368721515,2.8487303256988525,0.9093689918518066,18.40437126159668,8206
U04,23.911085091111506,17.540143966674805,0.9631161093711853,15.668829917907715,8206
U04B,1.9497090489400717,0.9437466859817505,0.9552943110466003,14.115876197814941,8206
U05,17.68819962590482,9.816115379333496,0.9089352488517761,20.874406814575195,8206
U05B,1.7260724230895894,0.9713202118873596,0.9479246139526367,16.31235694885254,8206
U06,9.378992476696508,5.6725993156433105,0.9735559225082397,9.657144546508789,8206
U06A,3.193597235264088,1.7772961854934692,0.9314836263656616,20.050195693969727,8206
