building,feature_set,mode,use_static,strict_cold_start,seed,n_dynamic_features,n_static_features,n_train_seq,n_val_seq,n_test_seq,status,rmse,mae,r2,wape_pct,wape_24h,wape_72h,wape_168h,wape_336h,scope,n_train_seq_pooled,n_val_seq_pooled,n_test_seq_pooled,baseline_model,baseline_rmse,baseline_mae,baseline_r2,baseline_wape_pct
GEO,setA,M0,False,False,42,8,0,11088,2066,8213,ok,76.91539525572075,13.632552146911621,0.07925951480865479,72.5705337524414,29.546958923339844,47.547420501708984,38.40604019165039,34.68756866455078,single,,,,Persistence_1h,7.751,1.487,0.9928,5.914
GEO,setA,M0,False,False,52,8,0,11088,2066,8213,ok,76.02754435071542,13.122668266296387,0.10039347410202026,69.85625457763672,27.537429809570312,35.76542282104492,29.866910934448242,25.46566390991211,single,,,,Persistence_1h,7.751,1.487,0.9928,5.914
GEO,setA,M0,False,False,62,8,0,11088,2066,8213,ok,75.8546036733269,12.986069679260254,0.1044815182685852,69.12908935546875,27.431732177734375,39.97919845581055,33.70160675048828,27.713680267333984,single,,,,Persistence_1h,7.751,1.487,0.9928,5.914
GEO,setA,M0,False,False,72,8,0,11088,2066,8213,ok,75.97430306730362,13.24016284942627,0.10165303945541382,70.4817123413086,26.516155242919922,38.794471740722656,33.64234161376953,29.17469596862793,single,,,,Persistence_1h,7.751,1.487,0.9928,5.914
GEO,setA,M0,False,False,82,8,0,11088,2066,8213,ok,76.63805901667754,13.296121597290039,0.08588749170303345,70.77960205078125,25.346317291259766,41.48747253417969,33.97542953491211,29.177507400512695,single,,,,Persistence_1h,7.751,1.487,0.9928,5.914
ICO,setA,M0,False,False,42,8,0,11159,2066,8213,ok,7.683570167493678,4.812987804412842,0.9419628381729126,16.490394592285156,24.114013671875,24.817218780517578,19.386415481567383,16.633146286010742,single,,,,ARX_ES,4.15,2.584,0.9828,6.55
ICO,setA,M0,False,False,52,8,0,11159,2066,8213,ok,7.010187909577595,4.5724568367004395,0.9516897201538086,15.666281700134277,14.734840393066406,16.26211166381836,13.166618347167969,11.774828910827637,single,,,,ARX_ES,4.15,2.584,0.9828,6.55
ICO,setA,M0,False,False,62,8,0,11159,2066,8213,ok,7.813799452477964,5.133148193359375,0.939978837966919,17.587337493896484,20.79730796813965,21.5811710357666,15.925315856933594,13.66800594329834,single,,,,ARX_ES,4.15,2.584,0.9828,6.55
ICO,setA,M0,False,False,72,8,0,11159,2066,8213,ok,8.13891911708989,5.128243446350098,0.9348801374435425,17.570531845092773,24.12563705444336,25.556325912475586,19.48760414123535,16.903610229492188,single,,,,ARX_ES,4.15,2.584,0.9828,6.55
ICO,setA,M0,False,False,82,8,0,11159,2066,8213,ok,8.618503058577117,5.39975643157959,0.926979660987854,18.50079917907715,26.989423751831055,27.81365394592285,22.311504364013672,19.60987091064453,single,,,,ARX_ES,4.15,2.584,0.9828,6.55
LIB,setA,M0,False,False,42,8,0,11158,2066,8213,ok,9.50438548807125,5.529314994812012,0.9765074849128723,9.620460510253906,14.980551719665527,14.928582191467285,9.19527530670166,7.755053520202637,single,,,,ARX_ES,10.072,6.056,0.9718,7.718
LIB,setA,M0,False,False,52,8,0,11158,2066,8213,ok,9.45763830468506,5.6509175300598145,0.9767380356788635,9.832036018371582,11.72546672821045,11.96861743927002,8.243664741516113,7.2132368087768555,single,,,,ARX_ES,10.072,6.056,0.9718,7.718
LIB,setA,M0,False,False,62,8,0,11158,2066,8213,ok,9.662199193854303,5.7760329246521,0.9757208824157715,10.049725532531738,11.178524017333984,12.364113807678223,8.930728912353516,8.008218765258789,single,,,,ARX_ES,10.072,6.056,0.9718,7.718
LIB,setA,M0,False,False,72,8,0,11158,2066,8213,ok,8.903843819015357,5.303061485290527,0.9793825149536133,9.226801872253418,12.283512115478516,12.090405464172363,8.006524085998535,6.606358051300049,single,,,,ARX_ES,10.072,6.056,0.9718,7.718
LIB,setA,M0,False,False,82,8,0,11158,2066,8213,ok,9.152117424778465,5.675909519195557,0.9782166481018066,9.875519752502441,12.124367713928223,12.114541053771973,8.084763526916504,7.011745452880859,single,,,,ARX_ES,10.072,6.056,0.9718,7.718
SOC,setA,M0,False,False,42,8,0,11158,2066,8213,ok,17.1549843354294,10.191059112548828,0.980828583240509,9.293417930603027,9.734143257141113,10.455422401428223,7.929020404815674,6.910821914672852,single,,,,ARX_ES,22.821,13.13,0.9652,8.826
SOC,setA,M0,False,False,52,8,0,11158,2066,8213,ok,17.468070411087734,10.111666679382324,0.9801223874092102,9.221017837524414,11.160762786865234,12.223634719848633,9.452945709228516,8.01198959350586,single,,,,ARX_ES,22.821,13.13,0.9652,8.826
SOC,setA,M0,False,False,62,8,0,11158,2066,8213,ok,17.831857970817463,10.025333404541016,0.9792858362197876,9.142289161682129,14.69267463684082,14.152852058410645,11.399802207946777,8.739202499389648,single,,,,ARX_ES,22.821,13.13,0.9652,8.826
SOC,setA,M0,False,False,72,8,0,11158,2066,8213,ok,17.62150982868886,10.190321922302246,0.9797716736793518,9.292745590209961,11.86041259765625,12.370741844177246,8.173362731933594,7.097901821136475,single,,,,ARX_ES,22.821,13.13,0.9652,8.826
SOC,setA,M0,False,False,82,8,0,11158,2066,8213,ok,17.07113127327005,9.798874855041504,0.9810155034065247,8.935776710510254,9.235234260559082,9.804475784301758,8.799668312072754,7.136950969696045,single,,,,ARX_ES,22.821,13.13,0.9652,8.826
U01,setA,M0,False,False,42,8,0,11158,2066,8213,ok,11.941212022054716,7.279183864593506,0.9802864789962769,8.838557243347168,3.7739877700805664,5.074158191680908,3.666727304458618,3.874880313873291,single,,,,ARX_ES,11.217,7.009,0.9806,6.221
U01,setA,M0,False,False,52,8,0,11158,2066,8213,ok,12.13211700155637,7.4006476402282715,0.9796510934829712,8.986041069030762,3.9062671661376953,4.69998025894165,3.382448673248291,3.824369430541992,single,,,,ARX_ES,11.217,7.009,0.9806,6.221
