building,rmse,mae,r2,wape_pct,n_test_seq
GEO,76.29341425440174,13.332380294799805,0.0940905213356018,70.97261810302734,8213
ICO,10.087222607661806,5.896684169769287,0.899971604347229,20.203386306762695,8213
LIB,9.725763568468343,5.855367660522461,0.9754003882408142,10.187759399414062,8213
SOC,20.057965012663143,11.695623397827148,0.9737911820411682,10.665458679199219,8213
STU,30.0607122892962,23.85866928100586,0.4850691556930542,20.383594512939453,62
U01,84.80325057799229,53.02009201049805,0.00575709342956543,64.37825012207031,8213
U01U02,26.516164779788692,19.4910888671875,0.930209755897522,4.9269022941589355,201
U02,3.9780036997674815,1.9982147216796875,0.9086964130401611,23.11414337158203,8206
U02B,3.1784730133692043,2.002810478210449,0.9139816761016846,20.61396026611328,8206
U03,13.275185885807188,8.514580726623535,0.9404698014259338,17.430206298828125,8206
U03B,4.96257720041641,2.828739643096924,0.9152942895889282,18.275218963623047,8206
U04,18.897403179374358,13.046426773071289,0.9769620895385742,11.654536247253418,8206
U04B,2.2186158905332314,1.0920666456222534,0.942112147808075,16.334339141845703,8206
U05,17.837358442358326,10.019774436950684,0.9073929190635681,21.307497024536133,8206
U05B,1.6742464163839976,1.0076289176940918,0.9510048627853394,16.9221248626709,8206
U06,9.920662681225885,6.03867769241333,0.9704132080078125,10.280364036560059,8206
U06A,3.0781756556646447,1.7637498378753662,0.936346709728241,19.897377014160156,8206
