building,rmse,mae,r2,wape_pct,n_test_seq
GEO,75.4062305739718,12.255764961242676,0.1150369644165039,65.24143981933594,8213
ICO,4.2871543099866045,2.6455531120300293,0.9819316864013672,9.064269065856934,8213
LIB,7.970742129973787,4.5625481605529785,0.9834774136543274,7.938381671905518,8213
SOC,17.611405994234246,9.766104698181152,0.9797948598861694,8.905893325805664,8213
U01,19.313166042064655,11.658903121948242,0.9484326839447021,14.156515121459961,8213
U02,3.1835241017592333,1.533249855041504,0.9415245056152344,17.73571014404297,8206
U02B,2.544198437652816,1.4553653001785278,0.9448867440223694,14.979371070861816,8206
U03,6.097965601637957,3.4154534339904785,0.987438976764679,6.9917778968811035,8206
U03B,2.9858096204648823,1.5084799528121948,0.9693364500999451,9.745614051818848,8206
U04,13.660798526507737,8.47128963470459,0.9879609942436218,7.567509174346924,8206
U04B,1.3296360171758987,0.6103830337524414,0.9792083501815796,9.12966537475586,8206
U05,11.963509709746354,5.825705528259277,0.9583418369293213,12.388622283935547,8206
U05B,1.2083214342693378,0.6172378659248352,0.9744800925254822,10.365896224975586,8206
U06,6.967134981370234,4.183807849884033,0.9854076504707336,7.122596740722656,8206
U06A,2.3986167219467327,1.205176591873169,0.9613494277000427,13.595948219299316,8206
