variant,rmse,mae,r2,wape_pct,n_train_seq,n_val_seq,n_test_seq,seed
setA_base,12.679831504821777,6.79862642288208,0.8694585059204991,27.7940007413018,4000,4000,4000,42
setA_sur,11.412370681762695,6.3077802658081055,0.8972902520430953,25.30738926099554,4000,4000,4000,42
setB_base,12.04699420928955,6.461423873901367,0.8761334194383228,26.976264223546924,4000,4000,4000,42
setB_sur,10.932560920715332,5.932351589202881,0.8944238231587046,25.26621804054638,4000,4000,4000,42
