variant,rmse,mae,r2,wape_pct,n_train_seq,n_val_seq,n_test_seq,seed
setA_base,6.677295207977295,3.1303374767303467,0.9756598177737068,12.161874379832383,72000,24768,72000,42
setA_sur,6.545449733734131,3.1383492946624756,0.9768870032779077,12.160671225684148,72000,24768,72000,42
setB_base,6.72733736038208,3.24519419670105,0.975588921274663,12.636959467704541,72000,24768,72000,42
setB_sur,7.454227447509766,3.8712894916534424,0.969887917542856,15.042272737238157,72000,24768,72000,42
