building,feature_set,mode,target_variant,use_static,strict_cold_start,seed,n_dynamic_features,n_static_features,n_train_seq,n_val_seq,n_test_seq,status,rmse,mae,r2,wape_pct,wape_24h,wape_72h,wape_168h,wape_336h,scope,n_train_seq_pooled,n_val_seq_pooled,n_test_seq_pooled
GEO,setA,M0,heat_kwh,False,False,42,8,0,11088,2066,8213,ok,76.45870834660529,13.335042953491213,0.0901609063148498,70.9867935180664,28.910724639892575,41.98428726196289,35.26374816894531,30.76769638061523,single,,,
GEO,setA,M0,heat_kwh,False,False,52,8,0,11088,2066,8213,ok,75.73899272852293,13.147631645202637,0.1072091460227966,69.98914337158203,25.448163986206055,35.835174560546875,30.511882781982425,26.74127960205078,single,,,
GEO,setA,M0,heat_kwh,False,False,62,8,0,11088,2066,8213,ok,76.289855746644,13.163564682006836,0.0941750407218933,70.07395935058594,25.91404914855957,37.72364044189453,33.81745529174805,28.78299331665039,single,,,
GEO,setA,M0,heat_kwh,False,False,72,8,0,11088,2066,8213,ok,76.42421504033423,13.249275207519531,0.0909816622734069,70.53022766113281,24.34644889831543,38.73313903808594,33.41368103027344,29.068737030029297,single,,,
GEO,setA,M0,heat_kwh,False,False,82,8,0,11088,2066,8213,ok,77.37131137714256,13.3896484375,0.0683118104934692,71.27747344970703,27.391632080078125,40.283653259277344,35.355777740478516,30.055509567260746,single,,,
ICO,setA,M0,heat_kwh,False,False,42,8,0,11159,2066,8213,ok,7.724639498993096,4.668724536895752,0.9413407444953918,15.996115684509276,22.737192153930664,23.66644859313965,19.226917266845703,16.375228881835938,single,,,
ICO,setA,M0,heat_kwh,False,False,52,8,0,11159,2066,8213,ok,8.094413111560682,4.556822299957275,0.935590386390686,15.612712860107422,28.59870719909668,29.43007469177246,22.239452362060547,18.492725372314453,single,,,
ICO,setA,M0,heat_kwh,False,False,62,8,0,11159,2066,8213,ok,8.197759126719145,4.794704914093018,0.9339351654052734,16.427753448486328,25.736045837402344,26.522136688232425,20.58605194091797,17.22005844116211,single,,,
ICO,setA,M0,heat_kwh,False,False,72,8,0,11159,2066,8213,ok,7.782897039542859,4.543126583099365,0.9404526352882384,15.565789222717283,19.96538734436035,21.51631736755371,17.191150665283203,14.893417358398438,single,,,
ICO,setA,M0,heat_kwh,False,False,82,8,0,11159,2066,8213,ok,8.244518424105204,4.458767890930176,0.9331793785095216,15.276756286621094,29.481943130493164,32.778297424316406,25.28936195373535,20.68896484375,single,,,
LIB,setA,M0,heat_kwh,False,False,42,8,0,11158,2066,8213,ok,9.40094270240212,5.934136390686035,0.9770160913467408,10.324809074401855,10.788776397705078,11.361105918884276,8.282305717468262,7.246490001678467,single,,,
LIB,setA,M0,heat_kwh,False,False,52,8,0,11158,2066,8213,ok,9.676945800679928,5.9565839767456055,0.9756467342376708,10.363865852355955,12.274012565612791,13.31383991241455,9.342060089111328,7.901366710662842,single,,,
