scope,building,M0,M1,M2,M3,M4,delta_wape_M1_minus_M0,delta_wape_M2_minus_M0,delta_wape_M3_minus_M0,delta_wape_M4_minus_M0,delta_wape_M4_minus_M3,vent_class,energy_class,stat_train_ac24,stat_train_night_day_ratio,stat_n_vent_points
single,GEO,70.56343841552734,71.05045318603516,73.08147735595703,72.81494140625,72.85344848632812,0.4870147705078125,2.5180389404296903,2.2515029907226562,2.2900100708007756,0.038507080078119316,basic,,0.774991428239609,0.4522404195582838,1
single,ICO,17.163068962097167,15.524831581115723,19.044388198852538,17.56828918457031,18.1054256439209,-1.638237380981444,1.8813192367553704,0.4052202224731438,0.9423566818237319,0.5371364593505881,basic,,0.9282458910996794,0.607071864599682,1
single,LIB,9.720908737182617,9.743303871154785,9.400263786315918,9.338737869262696,9.593498229980469,0.02239513397216797,-0.32064495086669886,-0.38217086791992116,-0.12741050720214808,0.2547603607177731,basic,,0.8962645236050432,0.63767646178126,1
single,SOC,9.177049446105958,9.639399337768555,10.03029270172119,10.371803283691406,10.228162384033203,0.46234989166259766,0.853243255615233,1.1947538375854485,1.051112937927245,-0.14364089965820348,basic,,0.8351349538290433,0.4299948240987191,2
single,U01,8.886775398254395,9.565363883972168,57.05565567016602,59.46931457519531,45.85420379638672,0.6785884857177731,48.168880271911625,50.58253917694092,36.96742839813233,-13.615110778808592,none,,0.9512489021239778,0.7731242218088237,0
single,U02,24.622765350341798,23.843902587890625,23.591588973999023,23.86173858642578,24.68634147644043,-0.7788627624511726,-1.0311763763427741,-0.7610267639160178,0.06357612609863139,0.8246028900146491,rich,,0.7874149640736751,0.2419303436359815,3
single,U02B,21.524110794067383,21.07331657409668,20.383235931396484,20.084391021728514,20.663361740112304,-0.4507942199707031,-1.1408748626708984,-1.4397197723388686,-0.8607490539550788,0.5789707183837898,basic,,0.8853621904175788,0.4790361781950632,1
single,U03,13.994821739196777,13.773838424682618,14.8366268157959,15.323028564453125,15.285299491882324,-0.2209833145141591,0.8418050765991225,1.3282068252563484,1.2904777526855469,-0.03772907257080149,rich,,0.9293990029644474,0.6172554961740034,4
single,U03B,16.51707363128662,17.160524368286133,17.472640228271484,17.493367385864257,17.695166397094727,0.6434507369995117,0.9555665969848626,0.976293754577636,1.1780927658081062,0.20179901123047017,basic,,0.8512919677312892,0.7037081721948298,1
single,U04,6.507447624206543,6.612952709197998,16.787963676452637,17.642477607727052,15.498552322387695,0.10550508499145472,10.280516052246094,11.135029983520509,8.991104698181152,-2.143925285339357,rich,,0.9011341205345696,0.9185789212837258,4
