Building,Horizon_h,target_col,Model,Status,n,MAE,RMSE,WAPE_pct,sMAPE_pct,MAPE_g_pct,R2,ResidAC1,ResidStd,MAE_peak,RMSE_peak,n_peak
GEO,1,target_point_h1,Persistence_1h,ok,6174,1.487,7.751,5.914,18.297,18.939,0.9928,0.1394,7.751,3.32,16.22,1294
GEO,1,target_point_h1,Persistence_week,ok,6174,33.832,126.629,134.585,61.84,238.266,-0.9118,0.9956,126.629,102.841,223.261,1294
GEO,1,target_point_h1,Static_ES,ok,6174,20.83,92.457,82.862,74.621,58.535,-0.0192,0.9964,90.982,88.025,201.845,1294
GEO,1,target_point_h1,ARX_ES,ok,6174,2.988,11.1,11.886,43.201,20.462,0.9853,0.5716,10.997,10.122,23.813,1294
GEO,1,target_point_h1,ARMAX_ES,ok,6174,2.031,8.139,8.078,43.135,19.836,0.9921,0.2293,8.104,5.673,17.15,1294
ICO,1,target_point_h1,Persistence_1h,ok,6174,2.467,4.23,6.255,15.715,10.846,0.9822,0.2661,4.23,3.032,4.707,750
ICO,1,target_point_h1,Persistence_week,ok,6174,12.857,19.872,32.596,41.601,43.61,0.6067,0.9783,19.865,30.191,37.263,750
ICO,1,target_point_h1,Static_ES,ok,6174,14.66,17.121,37.165,56.029,69.93,0.708,0.96,16.787,24.58,26.713,750
ICO,1,target_point_h1,ARX_ES,ok,6174,2.584,4.15,6.55,27.573,11.386,0.9828,0.2567,4.141,3.099,4.72,750
ICO,1,target_point_h1,ARMAX_ES,ok,6174,2.522,4.343,6.394,29.058,10.984,0.9812,0.196,4.342,3.185,5.821,750
LIB,1,target_point_h1,Persistence_1h,ok,6174,5.946,10.439,7.578,22.853,17.638,0.9697,0.1696,10.438,9.137,15.464,927
LIB,1,target_point_h1,Persistence_week,ok,6174,33.044,46.792,42.112,64.429,90.468,0.3904,0.9682,46.79,58.841,71.973,927
LIB,1,target_point_h1,Static_ES,ok,6174,26.014,33.194,33.153,60.767,139.105,0.6932,0.945,32.685,52.783,61.143,927
LIB,1,target_point_h1,ARX_ES,ok,6174,6.056,10.072,7.718,32.995,20.65,0.9718,0.1029,10.069,9.152,15.114,927
LIB,1,target_point_h1,ARMAX_ES,ok,6174,6.021,10.579,7.674,33.305,17.926,0.9688,0.1643,10.579,9.358,16.153,927
SOC,1,target_point_h1,Persistence_1h,ok,6174,13.584,25.442,9.132,15.6,15.276,0.9567,0.3833,25.441,20.371,37.422,991
SOC,1,target_point_h1,Persistence_week,ok,6174,66.413,95.855,44.644,62.383,77.348,0.3858,0.9667,95.815,126.502,157.219,991
SOC,1,target_point_h1,Static_ES,ok,6174,64.297,83.068,43.221,64.461,94.058,0.5387,0.9479,81.409,150.231,161.246,991
SOC,1,target_point_h1,ARX_ES,ok,6174,13.13,22.821,8.826,30.993,16.23,0.9652,-0.1581,22.802,20.077,33.699,991
SOC,1,target_point_h1,ARMAX_ES,ok,6174,13.701,25.311,9.21,31.546,15.653,0.9572,0.3701,25.31,20.343,37.091,991
STU,1,target_point_h1,Persistence_1h,ok,86,5.88,15.473,6.0,5.741,5.725,0.892,0.2245,15.396,6.857,16.844,43
STU,1,target_point_h1,Persistence_week,ok,86,65.151,80.329,66.481,86.893,58.024,-1.9122,0.9449,46.989,102.477,109.052,43
STU,1,target_point_h1,Static_ES,ok,86,40.371,43.574,41.195,41.064,49.691,0.1431,0.9305,42.307,38.848,44.712,43
STU,1,target_point_h1,ARX_ES,ok,86,7.703,14.829,7.86,8.142,8.325,0.9008,0.1547,14.827,8.471,16.18,43
STU,1,target_point_h1,ARMAX_ES,ok,86,6.561,16.142,6.695,8.256,7.117,0.8824,0.2224,16.01,7.086,16.897,43
U01,1,target_point_h1,Persistence_1h,ok,6174,6.609,11.566,5.866,12.335,13.497,0.9794,-0.0991,11.566,7.782,10.94,670
U01,1,target_point_h1,Persistence_week,ok,6174,41.772,57.232,37.073,62.657,226.645,0.4958,0.9691,57.231,71.188,84.322,670
U01,1,target_point_h1,Static_ES,ok,6174,26.617,37.903,23.623,51.615,377.425,0.7789,0.9428,37.332,31.489,37.016,670
U01,1,target_point_h1,ARX_ES,ok,6174,7.009,11.217,6.221,36.955,33.005,0.9806,-0.0232,11.198,7.646,10.612,670
U01,1,target_point_h1,ARMAX_ES,ok,6174,6.763,11.834,6.002,32.274,14.945,0.9784,-0.1032,11.834,8.141,13.714,670
U01U02,1,target_point_h1,Persistence_1h,ok,225,17.249,26.103,4.479,4.625,4.65,0.9321,0.3586,26.103,18.284,27.691,145
U01U02,1,target_point_h1,Persistence_week,ok,225,170.533,190.22,44.285,51.586,42.843,-2.6083,0.9867,144.083,202.09,218.661,145
U01U02,1,target_point_h1,Static_ES,ok,225,81.309,93.721,21.115,21.684,21.339,0.1241,0.9543,93.529,89.238,101.376,145
U01U02,1,target_point_h1,ARX_ES,ok,225,16.729,24.499,4.344,4.484,4.502,0.9401,0.238,24.498,17.354,25.854,145
U01U02,1,target_point_h1,ARMAX_ES,ok,225,18.189,30.139,4.723,5.42,5.026,0.9094,0.2499,29.948,18.498,27.217,145
U02,1,target_point_h1,Persistence_1h,ok,6168,2.038,4.48,17.217,23.623,30.878,0.899,0.2869,4.48,5.221,10.011,292
U02,1,target_point_h1,Persistence_week,ok,6168,6.928,11.672,58.518,73.081,113.12,0.3147,0.9219,11.667,24.07,28.265,292
U02,1,target_point_h1,Static_ES,ok,6168,9.929,12.982,83.87,98.603,166.037,0.1521,0.9373,12.87,33.701,35.182,292
U02,1,target_point_h1,ARX_ES,ok,6168,2.216,4.169,18.718,54.927,33.669,0.9126,-0.0325,4.166,5.189,8.971,292
U02,1,target_point_h1,ARMAX_ES,ok,6168,2.135,4.224,18.037,53.034,31.248,0.9102,-0.0291,4.203,5.195,9.225,292
U02B,1,target_point_h1,Persistence_1h,ok,6168,1.825,3.241,13.762,21.344,21.964,0.9077,0.0193,3.241,2.415,3.849,1145
U02B,1,target_point_h1,Persistence_week,ok,6168,5.638,8.067,42.519,68.574,55.04,0.4282,0.9097,8.067,8.239,10.755,1145
U02B,1,target_point_h1,Static_ES,ok,6168,5.892,7.747,44.435,68.573,54.035,0.4726,0.9053,7.617,12.119,13.504,1145
U02B,1,target_point_h1,ARX_ES,ok,6168,2.006,3.163,15.125,45.977,22.88,0.9121,0.0152,3.158,2.802,4.116,1145
