building,setA_base,setA_sur,setB_base,setB_sur,ehr_gain_base_pp,ehr_gain_surrogate_pp
GEO,21.25847673789999,19.22115257722998,18.864449679329212,18.83211972434535,2.394027058570778,0.38903285288462897
LIB,24.207771618360592,18.59619269827648,26.040307533204473,20.84038932438823,-1.8325359148438807,-2.2441966261117514
U05,33.90608155675674,32.96178168939295,31.441136765194393,31.195928347075792,2.4649447915623455,1.7658533423171576
U06,27.212441991472453,29.160731826394898,24.0986544722803,26.43415256595288,3.113787519192151,2.726579260442019
