Building,Model,Status,n,MAE,RMSE,WAPE_pct,sMAPE_pct,MAPE_g_pct,R2,ResidAC1,ResidStd,MAE_peak,RMSE_peak,n_peak
U04,Persistence_week,ok,6168,60.966,97.751,40.133,57.87,77.788,0.3982,0.9925,97.609,266.496,287.997,197
U04,Static_ES,ok,6168,84.839,98.41,55.848,62.604,209.404,0.39,0.9847,69.671,191.04,194.767,197
U04,ARX_ES,ok,6168,5.352,8.447,3.523,26.128,11.325,0.9955,0.0616,8.001,12.405,18.267,197
U04,ARMAX_ES,ok,6168,4.411,10.432,2.904,23.88,7.804,0.9931,0.1702,10.431,14.422,39.416,197
U04B,Persistence_1h,ok,6168,0.659,1.552,7.295,7.99,11.525,0.9743,-0.0491,1.552,0.894,2.328,432
U04B,Persistence_week,ok,6168,5.048,8.106,55.91,62.52,71.181,0.3,0.9714,8.089,9.842,13.125,432
U04B,Static_ES,ok,6168,8.533,9.996,94.506,123.0,58.048,-0.0644,0.9868,9.963,17.397,17.599,432
U04B,ARX_ES,ok,6168,0.724,1.537,8.022,88.806,11.956,0.9748,0.0291,1.536,0.908,2.31,432
U04B,ARMAX_ES,ok,6168,0.7,1.554,7.758,87.49,11.879,0.9743,0.0089,1.552,1.006,2.344,432
U05,Persistence_1h,ok,6168,7.45,14.426,11.578,20.034,17.627,0.9416,0.1951,14.426,16.475,25.516,989
U05,Persistence_week,ok,6168,31.486,47.158,48.931,74.447,93.879,0.3764,0.9538,47.156,60.947,77.611,989
U05,Static_ES,ok,6168,31.688,46.223,49.246,77.115,99.953,0.4009,0.944,43.817,89.915,97.578,989
U05,ARX_ES,ok,6168,7.483,13.826,11.629,41.571,19.268,0.9464,-0.0873,13.798,15.892,24.837,989
U05,ARMAX_ES,ok,6168,7.572,14.511,11.768,38.03,18.118,0.941,0.1572,14.511,16.615,25.603,989
U05B,Persistence_1h,ok,6168,0.729,1.467,8.951,14.647,14.251,0.9643,-0.0906,1.467,1.255,2.5,531
U05B,Persistence_week,ok,6168,4.292,6.411,52.735,75.967,64.672,0.3171,0.9601,6.41,10.157,12.322,531
U05B,Static_ES,ok,6168,3.383,4.624,41.559,73.154,46.733,0.6448,0.9438,4.561,7.761,9.361,531
U05B,ARX_ES,ok,6168,0.858,1.488,10.541,54.522,15.654,0.9632,-0.2407,1.487,1.317,2.452,531
U05B,ARMAX_ES,ok,6168,0.817,1.495,10.032,51.859,15.151,0.9629,-0.1431,1.485,1.403,2.562,531
U06,Persistence_1h,ok,6168,4.37,7.696,5.55,9.161,8.771,0.9803,0.1874,7.695,7.845,13.675,527
U06,Persistence_week,ok,6168,33.198,47.243,42.161,61.953,79.79,0.2594,0.9802,47.22,75.767,87.941,527
U06,Static_ES,ok,6168,20.975,30.601,26.638,42.043,96.582,0.6893,0.961,30.363,41.985,52.521,527
U06,ARX_ES,ok,6168,4.617,7.482,5.864,21.278,13.002,0.9814,-0.1365,7.471,7.396,12.703,527
U06,ARMAX_ES,ok,6168,4.448,7.753,5.649,18.128,9.537,0.9801,0.1742,7.752,7.751,13.553,527
U06A,Persistence_1h,ok,6168,1.421,2.95,11.691,20.501,18.938,0.9476,0.3524,2.95,3.912,5.914,317
U06A,Persistence_week,ok,6168,5.318,7.987,43.755,73.297,60.282,0.6155,0.9312,7.985,10.921,13.452,317
U06A,Static_ES,ok,6168,8.766,10.272,72.131,94.766,133.245,0.364,0.9369,8.794,15.602,16.394,317
U06A,ARX_ES,ok,6168,1.511,2.765,12.432,55.021,20.128,0.9539,0.218,2.75,3.599,5.392,317
U06A,ARMAX_ES,ok,6168,1.446,2.869,11.898,51.837,19.44,0.9504,0.2788,2.869,3.743,5.636,317
