variant,wape_mean,wape_std,rmse_mean,r2_mean,n_runs,n_train_seq,n_val_seq,n_test_seq
setA_base,12.161874379832383,,6.677295207977295,0.9756598177737068,1,72000.0,24768.0,72000.0
setA_sur,12.160671225684148,,6.545449733734131,0.9768870032779077,1,72000.0,24768.0,72000.0
setB_base,12.636959467704541,,6.72733736038208,0.975588921274663,1,72000.0,24768.0,72000.0
setB_sur,15.042272737238157,,7.454227447509766,0.969887917542856,1,72000.0,24768.0,72000.0
