building,rmse,mae,r2,wape_pct,n_test_seq
GEO,75.90460964674675,12.402316093444824,0.10330039262771606,66.0215835571289,8213
ICO,4.2592188761051375,2.648986577987671,0.9821663498878479,9.076032638549805,8213
LIB,7.8235256670842075,4.564018726348877,0.9840821027755737,7.9409403800964355,8213
SOC,17.08286241332002,9.762168884277344,0.9809894561767578,8.902304649353027,8213
U01,17.799347529079192,11.22985553741455,0.9561998248100281,13.635555267333984,8213
U02,3.2853323110242383,1.6017286777496338,0.9377246499061584,18.527830123901367,8206
U02B,2.554353931359715,1.4359776973724365,0.9444459080696106,14.779823303222656,8206
U03,6.262782948206624,3.757516622543335,0.9867507815361023,7.692016124725342,8206
U03B,3.0716874244831662,1.6359206438064575,0.9675472378730774,10.568950653076172,8206
U04,12.181695582938799,8.025886535644531,0.9904268980026245,7.169624328613281,8206
U04B,1.3751573039153666,0.6595218777656555,0.9777603149414062,9.864649772644043,8206
U05,11.608912339367759,5.6724324226379395,0.9607747197151184,12.0626802444458,8206
U05B,1.1821431754321319,0.6150981783866882,0.9755738973617554,10.329962730407715,8206
U06,6.975915346961896,4.629441738128662,0.9853708744049072,7.881252765655518,8206
U06A,2.45181414331996,1.2927018404006958,0.9596160054206848,14.583346366882324,8206
